timestamp,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5
2023-02-03 11:21:01,50288.00,50352.00,50976.00,50976.00,49952.00
2023-02-03 11:21:08,50240.00,50032.00,50736.00,50912.00,49760.00
2023-02-03 11:21:15,50320.00,50192.00,50976.00,50896.00,49920.00
2023-02-03 11:21:22,50272.00,50192.00,51008.00,50912.00,49904.00
2023-02-03 11:21:30,50304.00,50240.00,50880.00,50896.00,49952.00
2023-02-03 11:21:37,50288.00,50528.00,50944.00,50864.00,49904.00
2023-02-03 11:21:45,50176.00,50320.00,50880.00,50832.00,49808.00
2023-02-03 11:21:52,49664.00,49168.00,50960.00,50848.00,49904.00
2023-02-03 11:21:59,50256.00,50320.00,50832.00,50864.00,49984.00
2023-02-03 11:22:07,49840.00,49648.00,51184.00,50992.00,49824.00
2023-02-03 11:22:14,49792.00,49616.00,50944.00,50960.00,49872.00
2023-02-03 11:22:21,49888.00,49616.00,51200.00,51024.00,49920.00
2023-02-03 11:22:29,49872.00,49696.00,50944.00,50992.00,49936.00
2023-02-03 11:22:36,49856.00,49696.00,51152.00,51024.00,50128.00
2023-02-03 11:22:43,49760.00,49616.00,51024.00,50992.00,49904.00
2023-02-03 11:22:50,50016.00,49440.00,50960.00,50976.00,49968.00
2023-02-03 11:22:58,49888.00,49632.00,50976.00,51024.00,49888.00
2023-02-03 11:23:05,49728.00,49728.00,51136.00,50992.00,49840.00
2023-02-03 11:23:12,49888.00,49568.00,50992.00,50960.00,49792.00
2023-02-03 11:23:20,49840.00,49536.00,50992.00,51056.00,49856.00
2023-02-03 11:23:27,49856.00,49744.00,51024.00,50976.00,49744.00
2023-02-03 11:23:34,49808.00,50064.00,51152.00,50768.00,49904.00
2023-02-03 11:23:42,49808.00,49568.00,51040.00,50976.00,49920.00
2023-02-03 11:23:49,50016.00,49664.00,51040.00,50880.00,49840.00
2023-02-03 11:23:56,49696.00,49632.00,51120.00,50912.00,49792.00
2023-02-03 11:24:04,49856.00,49664.00,51040.00,50944.00,49824.00
2023-02-03 11:24:11,49664.00,49440.00,51024.00,50944.00,49856.00
2023-02-03 11:24:18,49888.00,49632.00,51040.00,50976.00,49776.00
2023-02-03 11:24:26,49824.00,49632.00,51056.00,51040.00,49824.00
2023-02-03 11:24:33,49744.00,49824.00,50960.00,50912.00,49776.00
2023-02-03 11:24:40,49760.00,49840.00,50976.00,50912.00,49824.00
2023-02-03 11:24:48,49792.00,49744.00,50960.00,50880.00,49776.00
2023-02-03 11:24:55,49776.00,49696.00,51008.00,50992.00,49744.00
2023-02-03 11:25:02,49984.00,49648.00,50912.00,50640.00,49776.00
2023-02-03 11:25:10,50176.00,49808.00,49632.00,33248.00,49776.00
2023-02-03 11:25:17,46112.00,49536.00,50912.00,30800.00,31440.00
2023-02-03 11:25:24,31856.00,32736.00,33312.00,30608.00,31168.00
2023-02-03 11:25:31,30048.00,32448.00,30816.00,30480.00,31056.00
2023-02-03 11:25:39,29072.00,32400.00,30752.00,30112.00,30768.00
2023-02-03 11:25:46,29152.00,31968.00,30736.00,30256.00,30672.00
2023-02-03 11:25:53,29072.00,32128.00,30736.00,30272.00,30608.00
2023-02-03 11:26:01,29120.00,32096.00,30672.00,30192.00,30496.00
2023-02-03 11:26:08,29040.00,31776.00,30672.00,30064.00,30560.00
2023-02-03 11:26:15,29040.00,27712.00,30608.00,30096.00,30608.00
2023-02-03 11:26:23,29024.00,27632.00,30592.00,30080.00,30608.00
2023-02-03 11:26:30,29040.00,30384.00,30576.00,29984.00,30608.00
2023-02-03 11:26:37,29040.00,28704.00,30560.00,31840.00,30720.00
2023-02-03 11:26:45,29040.00,28896.00,30688.00,31712.00,30496.00
2023-02-03 11:26:52,29008.00,28864.00,30480.00,31776.00,30592.00
2023-02-03 11:26:59,29040.00,28768.00,30528.00,31696.00,30560.00
2023-02-03 11:27:07,29024.00,28832.00,30544.00,31632.00,30496.00
2023-02-03 11:27:14,29040.00,28752.00,30768.00,31808.00,30432.00
2023-02-03 11:27:21,29040.00,28928.00,30608.00,31504.00,30480.00
2023-02-03 11:27:28,29040.00,28832.00,30528.00,31584.00,30608.00
2023-02-03 11:27:36,29024.00,28832.00,30512.00,31600.00,30592.00
2023-02-03 11:27:43,29008.00,28848.00,30528.00,31680.00,30528.00
2023-02-03 11:27:50,28960.00,28864.00,30512.00,31536.00,30544.00
2023-02-03 11:27:58,28960.00,28752.00,30544.00,31440.00,30576.00
2023-02-03 11:28:05,28928.00,28848.00,30544.00,31552.00,30608.00
2023-02-03 11:28:12,28896.00,28800.00,30432.00,31568.00,30528.00
2023-02-03 11:28:20,28992.00,28864.00,30512.00,31520.00,30480.00
2023-02-03 11:28:27,29008.00,28800.00,30512.00,31536.00,30528.00
2023-02-03 11:28:34,28944.00,28800.00,30336.00,31872.00,30464.00
2023-02-03 11:28:42,28992.00,29472.00,30448.00,31456.00,30480.00
2023-02-03 11:28:49,29008.00,28784.00,30464.00,31440.00,30528.00
2023-02-03 11:28:56,28912.00,28880.00,30432.00,31440.00,30512.00
2023-02-03 11:29:04,29008.00,29008.00,30480.00,31536.00,30432.00
2023-02-03 11:29:11,28912.00,28816.00,30384.00,31344.00,30464.00
2023-02-03 11:29:18,29024.00,28784.00,30480.00,31488.00,30448.00
2023-02-03 11:29:25,28944.00,28816.00,30560.00,31408.00,30432.00
2023-02-03 11:29:33,28960.00,28624.00,30544.00,31408.00,30576.00
2023-02-03 11:29:40,28944.00,28800.00,30464.00,31424.00,30448.00
2023-02-03 11:29:47,28960.00,28720.00,30528.00,31520.00,30480.00
2023-02-03 11:29:55,28896.00,28768.00,30624.00,31392.00,30384.00
2023-02-03 11:30:02,28912.00,28816.00,30480.00,31424.00,30496.00
2023-02-03 11:30:09,28928.00,28704.00,30528.00,31424.00,30432.00
2023-02-03 11:30:17,28912.00,28720.00,30496.00,31376.00,30448.00
2023-02-03 11:30:24,29024.00,28704.00,30384.00,31248.00,30480.00
2023-02-03 11:30:31,28928.00,28768.00,30384.00,31344.00,30432.00
2023-02-03 11:31:06,28896.00,28704.00,30464.00,31296.00,30368.00
2023-02-03 11:31:13,28928.00,28656.00,30384.00,31344.00,30384.00
2023-02-03 11:31:20,28928.00,28736.00,30528.00,31312.00,30288.00
2023-02-03 11:31:28,28912.00,28736.00,30512.00,31312.00,30400.00
2023-02-03 11:31:35,28784.00,28768.00,30416.00,31296.00,30400.00
2023-02-03 11:31:42,28832.00,28832.00,30400.00,31280.00,30448.00
2023-02-03 11:31:50,28992.00,28800.00,30320.00,31312.00,30400.00
2023-02-03 11:31:57,28976.00,30416.00,30480.00,31232.00,30368.00
2023-02-03 11:32:04,29632.00,49952.00,50832.00,50512.00,49472.00
2023-02-03 11:32:12,50304.00,49840.00,51040.00,51296.00,49840.00
2023-02-03 11:32:19,50112.00,49824.00,51104.00,50560.00,49824.00
2023-02-03 11:32:26,50320.00,49856.00,50960.00,50592.00,49824.00
2023-02-03 11:32:33,50240.00,49872.00,51056.00,50784.00,49760.00
2023-02-03 11:32:41,50272.00,49968.00,51008.00,50672.00,49760.00
2023-02-03 11:32:48,50288.00,50000.00,51008.00,50720.00,49824.00
2023-02-03 11:32:55,50320.00,49872.00,51008.00,50864.00,50208.00
2023-02-03 11:33:03,50336.00,49984.00,50928.00,50656.00,49872.00
2023-02-03 11:33:10,50128.00,49936.00,50960.00,50544.00,49824.00
2023-02-03 11:33:17,50240.00,49888.00,51072.00,50720.00,49824.00
2023-02-03 11:33:25,50304.00,49872.00,51040.00,50544.00,49888.00
2023-02-03 11:33:32,50240.00,49824.00,51008.00,50656.00,49856.00
2023-02-03 11:33:39,50320.00,49920.00,51024.00,50864.00,49872.00
2023-02-03 11:33:47,50240.00,50080.00,50992.00,50672.00,49936.00
2023-02-03 11:33:54,50160.00,49968.00,51040.00,50656.00,49872.00
2023-02-03 11:34:01,50240.00,50016.00,51008.00,50688.00,49904.00
2023-02-03 11:34:09,50304.00,49936.00,51056.00,50672.00,49856.00
2023-02-03 11:34:16,50288.00,50096.00,51072.00,50640.00,49872.00
2023-02-03 11:34:23,50336.00,49808.00,50976.00,50560.00,49840.00
2023-02-03 11:34:31,50336.00,49952.00,50976.00,50592.00,49888.00
2023-02-03 11:34:38,50320.00,50016.00,50976.00,50768.00,50048.00
2023-02-03 11:34:45,50384.00,49888.00,51040.00,50720.00,50416.00
2023-02-03 11:34:52,50336.00,49904.00,51136.00,50736.00,49840.00
2023-02-03 11:35:00,50432.00,49984.00,51040.00,50736.00,49840.00
2023-02-03 11:35:07,50352.00,50240.00,50992.00,50656.00,49904.00
2023-02-03 11:35:14,50304.00,49920.00,51024.00,50704.00,49856.00
2023-02-03 11:35:22,50352.00,49952.00,50960.00,50816.00,49840.00
2023-02-03 11:35:29,50288.00,49840.00,51056.00,50576.00,49856.00
2023-02-03 11:35:36,50336.00,49952.00,52016.00,50688.00,49872.00
2023-02-03 11:35:44,50272.00,49952.00,51024.00,50464.00,49824.00
